ID,Source,Domain,Question,Option_A,Option_B,Option_C,Option_D,Correct_Index,Correct_Answer,Explanation,Result
11,udemy-attempt3,secure-arch,"A retail company uses AWS Cloud to manage its technology infrastructure. The company has deployed its consumer-focused web application on Amazon EC2-based web servers and uses Amazon RDS PostgreSQL database as the data store. The PostgreSQL database is set up in a private subnet that allows inbound traffic from selected Amazon EC2 instances. The database also uses AWS Key Management Service (AWS KMS) for encrypting data at rest.
Which of the following steps would you recommend to facilitate end-",Correct answer,Configure Amazon RDS to use SSL for data in transit,Create a new network access control list (network ACL) that blocks SSH from the entire Amazon EC2 subnet into the database,Use IAM authentication to access the database instead of the database user's access credentials,1,Configure Amazon RDS to use SSL for data in transit,"Configure Amazon RDS to use SSL for data in transit
You can use Secure Socket Layer / Transport Layer Security (SSL/TLS) connections to encrypt data in transit. Amazon RDS creates an SSL certificate a",Incorrect
12,udemy-attempt3,secure-arch,"An e-commerce application uses an Amazon Aurora Multi-AZ deployment for its database. While analyzing the performance metrics, the engineering team has found that the database reads are causing high input/output (I/O) and adding latency to the write requests against the database.
As an AWS Certified Solutions Architect Associate, what would you recommend to separate the read requests from the write requests?",Provision another Amazon Aurora database and link it to the primary database as a read replica,Configure the application to read from the Multi-AZ standby instance,Activate read-through caching on the Amazon Aurora database,Set up a read replica and modify the application to use the appropriate endpoint,2,Activate read-through caching on the Amazon Aurora database,"Set up a read replica and modify the application to use the appropriate endpoint
An Amazon Aurora DB cluster consists of one or more DB instances and a cluster volume that manages the data for those D",Correct
13,udemy-attempt3,secure-arch,"A financial services company has deployed its flagship application on Amazon EC2 instances. Since the application handles sensitive customer data, the security team at the company wants to ensure that any third-party Secure Sockets Layer certificate (SSL certificate) SSL/Transport Layer Security (TLS) certificates configured on Amazon EC2 instances via the AWS Certificate Manager (ACM) are renewed before their expiry date. The company has hired you as an AWS Certified Solutions Architect Associa",Monitor the `days to expiry` Amazon CloudWatch metric for certificates created via ACM. Create a CloudWatch alarm to monitor such certificates based on the `days to expiry` metric and then trigger a custom action of notifying the security team,Leverage AWS Config managed rule to check if any SSL/TLS certificates created via ACM are marked for expiration within 30 days. Configure the rule to trigger an Amazon SNS notification to the security team if any certificate expires within 30 days,Correct answer,Leverage AWS Config managed rule to check if any third-party SSL/TLS certificates imported into ACM are marked for expiration within 30 days. Configure the rule to trigger an Amazon SNS notification to the security team if any certificate expires within 30 days,0,Monitor the `days to expiry` Amazon CloudWatch metric for certificates created via ACM. Create a CloudWatch alarm to monitor such certificates based on the `days to expiry` metric and then trigger a custom action of notifying the security team,Leverage AWS Config managed rule to check if any third-party SSL/TLS certificates imported into ACM are marked for expiration within 30 days. Configure the rule to trigger an Amazon SNS notification t,Incorrect
14,udemy-attempt3,resilient-arch,"A leading online gaming company is migrating its flagship application to AWS Cloud for delivering its online games to users across the world. The company would like to use a Network Load Balancer to handle millions of requests per second. The engineering team has provisioned multiple instances in a public subnet and specified these instance IDs as the targets for the NLB.
As a solutions architect, can you help the engineering team understand the correct routing mechanism for these target instanc",Traffic is routed to instances using the primary elastic IP address specified in the primary network interface for the instance,Traffic is routed to instances using the primary public IP address specified in the primary network interface for the instance,Correct answer,Traffic is routed to instances using the primary private IP address specified in the primary network interface for the instance,0,Traffic is routed to instances using the primary elastic IP address specified in the primary network interface for the instance,"Traffic is routed to instances using the primary private IP address specified in the primary network interface for the instance
A Network Load Balancer functions at the fourth layer of the Open System",Incorrect
15,udemy-attempt3,high-perf-arch,"A company has grown from a small startup to an enterprise employing over 1000 people. As the team size has grown, the company has recently observed some strange behavior, with Amazon S3 buckets settings being changed regularly.
How can you figure out what's happening without restricting the rights of the users?",Implement an IAM policy to forbid users to change Amazon S3 bucket settings,Correct answer,Use AWS CloudTrail to analyze API calls,Implement a bucket policy requiring AWS Multi-Factor Authentication (AWS MFA) for all operations,2,Use AWS CloudTrail to analyze API calls,"Use AWS CloudTrail to analyze API calls
AWS CloudTrail is a service that enables governance, compliance, operational auditing, and risk auditing of your AWS account. With AWS CloudTrail, you can log, ",Incorrect
16,udemy-attempt3,cost-optimized-arch,"An Electronic Design Automation (EDA) application produces massive volumes of data that can be divided into two categories. The 'hot data' needs to be both processed and stored quickly in a parallel and distributed fashion. The 'cold data' needs to be kept for reference with quick access for reads and updates at a low cost.
Which of the following AWS services is BEST suited to accelerate the aforementioned chip design process?",AWS Glue,Amazon FSx for Lustre,Amazon FSx for Windows File Server,Amazon EMR,0,AWS Glue,"Amazon FSx for Lustre
Amazon FSx for Lustre makes it easy and cost-effective to launch and run the world’s most popular high-performance file system. It is used for workloads such as machine learning,",Correct
17,udemy-attempt3,secure-arch,"An IT company has an Access Control Management (ACM) application that uses Amazon RDS for MySQL but is running into performance issues despite using Read Replicas. The company has hired you as a solutions architect to address these performance-related challenges without moving away from the underlying relational database schema. The company has branch offices across the world, and it needs the solution to work on a global scale.
Which of the following will you recommend as the MOST cost-effectiv","Spin up Amazon EC2 instances in each AWS region, install MySQL databases and migrate the existing data into these new databases","Use Amazon DynamoDB Global Tables to provide fast, local, read and write performance in each region",Correct answer,Use Amazon Aurora Global Database to enable fast local reads with low latency in each region,3,Use Amazon Aurora Global Database to enable fast local reads with low latency in each region,"Use Amazon Aurora Global Database to enable fast local reads with low latency in each region
Amazon Aurora is a MySQL and PostgreSQL-compatible relational database built for the cloud, that combines t",Incorrect
18,udemy-attempt3,cost-optimized-arch,"A media agency stores its re-creatable assets on Amazon Simple Storage Service (Amazon S3) buckets. The assets are accessed by a large number of users for the first few days and the frequency of access falls down drastically after a week. Although the assets would be accessed occasionally after the first week, but they must continue to be immediately accessible when required. The cost of maintaining all the assets on Amazon S3 storage is turning out to be very expensive and the agency is looking",Configure a lifecycle policy to transition the objects to Amazon S3 One Zone-Infrequent Access (S3 One Zone-IA) after 7 days,Configure a lifecycle policy to transition the objects to Amazon S3 Standard-Infrequent Access (S3 Standard-IA) after 30 days,Correct answer,Configure a lifecycle policy to transition the objects to Amazon S3 One Zone-Infrequent Access (S3 One Zone-IA) after 30 days,0,Configure a lifecycle policy to transition the objects to Amazon S3 One Zone-Infrequent Access (S3 One Zone-IA) after 7 days,"Configure a lifecycle policy to transition the objects to Amazon S3 One Zone-Infrequent Access (S3 One Zone-IA) after 30 days
Amazon S3 One Zone-IA is for data that is accessed less frequently, but re",Incorrect
19,udemy-attempt3,high-perf-arch,"A development team has deployed a microservice to the Amazon Elastic Container Service (Amazon ECS). The application layer is in a Docker container that provides both static and dynamic content through an Application Load Balancer. With increasing load, the Amazon ECS cluster is experiencing higher network usage. The development team has looked into the network usage and found that 90% of it is due to distributing static content of the application.
As a Solutions Architect, what do you recommend",Distribute the dynamic content through Amazon S3,Distribute the dynamic content through Amazon EFS,Distribute the static content through Amazon S3,Distribute the static content through Amazon EFS,0,Distribute the dynamic content through Amazon S3,"Distribute the static content through Amazon S3
You can use Amazon S3 to host a static website. On a static website, individual web pages include static content. They might also contain client-side sc",Correct
20,udemy-attempt3,resilient-arch,"A media company has created an AWS Direct Connect connection for migrating its flagship application to the AWS Cloud. The on-premises application writes hundreds of video files into a mounted NFS file system daily. Post-migration, the company will host the application on an Amazon EC2 instance with a mounted Amazon Elastic File System (Amazon EFS) file system. Before the migration cutover, the company must build a process that will replicate the newly created on-premises video files to the Amazo",Correct answer,Configure an AWS DataSync agent on the on-premises server that has access to the NFS file system. Transfer data over the AWS Direct Connect connection to an AWS PrivateLink interface VPC endpoint for Amazon EFS by using a private VIF. Set up an AWS DataSync scheduled task to send the video files to the Amazon EFS file system every 24 hours,Configure an AWS DataSync agent on the on-premises server that has access to the NFS file system. Transfer data over the AWS Direct Connect connection to an Amazon S3 bucket by using a VPC gateway endpoint for Amazon S3. Set up an AWS Lambda function to process event notifications from Amazon S3 and copy the video files from Amazon S3 to the Amazon EFS file system,Configure an AWS DataSync agent on the on-premises server that has access to the NFS file system. Transfer data over the AWS Direct Connect connection to an Amazon S3 bucket by using public VIF. Set up an AWS Lambda function to process event notifications from Amazon S3 and copy the video files from Amazon S3 to the Amazon EFS file system,0,Correct answer,Configure an AWS DataSync agent on the on-premises server that has access to the NFS file system. Transfer data over the AWS Direct Connect connection to an AWS PrivateLink interface VPC endpoint for ,Incorrect
21,udemy-attempt3,high-perf-arch,"A Big Data processing company has created a distributed data processing framework that performs best if the network performance between the processing machines is high. The application has to be deployed on AWS, and the company is only looking at performance as the key measure.
As a Solutions Architect, which deployment do you recommend?",Use a Cluster placement group,Optimize the Amazon EC2 kernel using EC2 User Data,Use a Spread placement group,Use Spot Instances,0,Use a Cluster placement group,"When you launch a new Amazon EC2 instance, the EC2 service attempts to place the instance in such a way that all of your instances are spread out across underlying hardware to minimize correlated fail",Correct
22,udemy-attempt3,secure-arch,"The infrastructure team at a company maintains 5 different VPCs (let's call these VPCs A, B, C, D, E) for resource isolation. Due to the changed organizational structure, the team wants to interconnect all VPCs together. To facilitate this, the team has set up VPC peering connection between VPC A and all other VPCs in a hub and spoke model with VPC A at the center. However, the team has still failed to establish connectivity between all VPCs.
As a solutions architect, which of the following woul",Establish VPC peering connections between all VPCs,Use AWS transit gateway to interconnect the VPCs,Use a VPC endpoint to interconnect the VPCs,Use an internet gateway to interconnect the VPCs,0,Establish VPC peering connections between all VPCs,"Use AWS transit gateway to interconnect the VPCs
An AWS transit gateway is a network transit hub that you can use to interconnect your virtual private clouds (VPC) and on-premises networks.
AWS Transi",Correct
23,udemy-attempt3,resilient-arch,"A retail company has developed a REST API which is deployed in an Auto Scaling group behind an Application Load Balancer. The REST API stores the user data in Amazon DynamoDB and any static content, such as images, are served via Amazon Simple Storage Service (Amazon S3). On analyzing the usage trends, it is found that 90% of the read requests are for commonly accessed data across all users.
As a Solutions Architect, which of the following would you suggest as the MOST efficient solution to impr",Enable Amazon DynamoDB Accelerator (DAX) for Amazon DynamoDB and ElastiCache Memcached for Amazon S3,Enable ElastiCache Redis for DynamoDB and Amazon CloudFront for Amazon S3,Enable ElastiCache Redis for DynamoDB and ElastiCache Memcached for Amazon S3,Enable Amazon DynamoDB Accelerator (DAX) for Amazon DynamoDB and Amazon CloudFront for Amazon S3,1,Enable ElastiCache Redis for DynamoDB and Amazon CloudFront for Amazon S3,"Enable Amazon DynamoDB Accelerator (DAX) for Amazon DynamoDB and Amazon CloudFront for Amazon S3
Amazon DynamoDB Accelerator (DAX) is a fully managed, highly available, in-memory cache for Amazon Dyna",Correct
24,udemy-attempt3,cost-optimized-arch,"The engineering team at an e-commerce company is working on cost optimizations for Amazon Elastic Compute Cloud (Amazon EC2) instances. The team wants to manage the workload using a mix of on-demand and spot instances across multiple instance types. They would like to create an Auto Scaling group with a mix of these instances.
Which of the following options would allow the engineering team to provision the instances for this use-case?","You can only use a launch template to provision capacity across multiple instance types using both On-Demand Instances and Spot Instances to achieve the desired scale, performance, and cost","You can use a launch configuration or a launch template to provision capacity across multiple instance types using both On-Demand Instances and Spot Instances to achieve the desired scale, performance, and cost","You can neither use a launch configuration nor a launch template to provision capacity across multiple instance types using both On-Demand Instances and Spot Instances to achieve the desired scale, performance, and cost","You can only use a launch configuration to provision capacity across multiple instance types using both On-Demand Instances and Spot Instances to achieve the desired scale, performance, and cost",0,"You can only use a launch template to provision capacity across multiple instance types using both On-Demand Instances and Spot Instances to achieve the desired scale, performance, and cost","You can only use a launch template to provision capacity across multiple instance types using both On-Demand Instances and Spot Instances to achieve the desired scale, performance, and cost
A launch t",Correct
25,udemy-attempt3,secure-arch,"A retail company uses AWS Cloud to manage its IT infrastructure. The company has set up AWS Organizations to manage several departments running their AWS accounts and using resources such as Amazon EC2 instances and Amazon RDS databases. The company wants to provide shared and centrally-managed VPCs to all departments using applications that need a high degree of interconnectivity.
As a solutions architect, which of the following options would you choose to facilitate this use-case?",Use VPC sharing to share a VPC with other AWS accounts belonging to the same parent organization from AWS Organizations,Correct answer,Use VPC sharing to share one or more subnets with other AWS accounts belonging to the same parent organization from AWS Organizations,Use VPC peering to share a VPC with other AWS accounts belonging to the same parent organization from AWS Organizations,2,Use VPC sharing to share one or more subnets with other AWS accounts belonging to the same parent organization from AWS Organizations,"Use VPC sharing to share one or more subnets with other AWS accounts belonging to the same parent organization from AWS Organizations
VPC sharing (part of Resource Access Manager) allows multiple AWS ",Incorrect
26,udemy-attempt3,cost-optimized-arch,"A medium-sized business has a taxi dispatch application deployed on an Amazon EC2 instance. Because of an unknown bug, the application causes the instance to freeze regularly. Then, the instance has to be manually restarted via the AWS management console.
Which of the following is the MOST cost-optimal and resource-efficient way to implement an automated solution until a permanent fix is delivered by the development team?","Setup an Amazon CloudWatch alarm to monitor the health status of the instance. In case of an Instance Health Check failure, Amazon CloudWatch Alarm can publish to an Amazon Simple Notification Service (Amazon SNS) event which can then trigger an AWS lambda function. The AWS lambda function can use Amazon EC2 API to reboot the instance","Setup an Amazon CloudWatch alarm to monitor the health status of the instance. In case of an Instance Health Check failure, an EC2 Reboot CloudWatch Alarm Action can be used to reboot the instance",Use Amazon EventBridge events to trigger an AWS Lambda function to reboot the instance status every 5 minutes,"Use Amazon EventBridge events to trigger an AWS Lambda function to check the instance status every 5 minutes. In the case of Instance Health Check failure, the AWS lambda function can use Amazon EC2 API to reboot the instance",0,"Setup an Amazon CloudWatch alarm to monitor the health status of the instance. In case of an Instance Health Check failure, Amazon CloudWatch Alarm can publish to an Amazon Simple Notification Service (Amazon SNS) event which can then trigger an AWS lambda function. The AWS lambda function can use Amazon EC2 API to reboot the instance","Setup an Amazon CloudWatch alarm to monitor the health status of the instance. In case of an Instance Health Check failure, an EC2 Reboot CloudWatch Alarm Action can be used to reboot the instance
Usi",Correct
27,udemy-attempt3,secure-arch,"A retail company uses Amazon Elastic Compute Cloud (Amazon EC2) instances, Amazon API Gateway, Amazon RDS, Elastic Load Balancer and Amazon CloudFront services. To improve the security of these services, the Risk Advisory group has suggested a feasibility check for using the Amazon GuardDuty service.
Which of the following would you identify as data sources supported by Amazon GuardDuty?","VPC Flow Logs, Domain Name System (DNS) logs, AWS CloudTrail events","Amazon CloudFront logs, Amazon API Gateway logs, AWS CloudTrail events","Elastic Load Balancing logs, Domain Name System (DNS) logs, AWS CloudTrail events","VPC Flow Logs, Amazon API Gateway logs, Amazon S3 access logs",0,"VPC Flow Logs, Domain Name System (DNS) logs, AWS CloudTrail events","VPC Flow Logs, Domain Name System (DNS) logs, AWS CloudTrail events
Amazon GuardDuty is a threat detection service that continuously monitors for malicious activity and unauthorized behavior to protec",Correct
28,udemy-attempt3,high-perf-arch,"A retail company wants to rollout and test a blue-green deployment for its global application in the next 48 hours. Most of the customers use mobile phones which are prone to Domain Name System (DNS) caching. The company has only two days left for the annual Thanksgiving sale to commence.
As a Solutions Architect, which of the following options would you recommend to test the deployment on as many users as possible in the given time frame?",Use Amazon Route 53 weighted routing to spread traffic across different deployments,Use Elastic Load Balancing (ELB) to distribute traffic across deployments,Use AWS Global Accelerator to distribute a portion of traffic to a particular deployment,Use AWS CodeDeploy deployment options to choose the right deployment,1,Use Elastic Load Balancing (ELB) to distribute traffic across deployments,"Blue/green deployment is a technique for releasing applications by shifting traffic between two identical environments running different versions of the application: ""Blue"" is the currently running ve",Correct
29,udemy-attempt3,high-perf-arch,"A media company wants a low-latency way to distribute live sports results which are delivered via a proprietary application using UDP protocol.
As a solutions architect, which of the following solutions would you recommend such that it offers the BEST performance for this use case?",Use Elastic Load Balancing (ELB) to provide a low latency way to distribute live sports results,Use AWS Global Accelerator to provide a low latency way to distribute live sports results,Use Amazon CloudFront to provide a low latency way to distribute live sports results,Use Auto Scaling group to provide a low latency way to distribute live sports results,0,Use Elastic Load Balancing (ELB) to provide a low latency way to distribute live sports results,"Use AWS Global Accelerator to provide a low latency way to distribute live sports results
AWS Global Accelerator is a networking service that helps you improve the availability and performance of the ",Correct
30,udemy-attempt3,secure-arch,"A company has hired you as an AWS Certified Solutions Architect – Associate to help with redesigning a real-time data processor. The company wants to build custom applications that process and analyze the streaming data for its specialized needs.
Which solution will you recommend to address this use-case?",Use Amazon Kinesis Data Streams to process the data streams as well as decouple the producers and consumers for the real-time data processor,Use Amazon Kinesis Data Firehose to process the data streams as well as decouple the producers and consumers for the real-time data processor,Use Amazon Simple Notification Service (Amazon SNS) to process the data streams as well as decouple the producers and consumers for the real-time data processor,Use Amazon Simple Queue Service (Amazon SQS) to process the data streams as well as decouple the producers and consumers for the real-time data processor,0,Use Amazon Kinesis Data Streams to process the data streams as well as decouple the producers and consumers for the real-time data processor,"Use Amazon Kinesis Data Streams to process the data streams as well as decouple the producers and consumers for the real-time data processor
Amazon Kinesis Data Streams is useful for rapidly moving da",Correct
31,udemy-attempt3,resilient-arch,"A cyber security company is running a mission critical application using a single Spread placement group of Amazon EC2 instances. The company needs 15 Amazon EC2 instances for optimal performance.
How many Availability Zones (AZs) will the company need to deploy these Amazon EC2 instances per the given use-case?",3,14,7,15,0,3,"3
When you launch a new Amazon EC2 instance, the EC2 service attempts to place the instance in such a way that all of your instances are spread out across underlying hardware to minimize correlated fa",Correct
32,udemy-attempt3,secure-arch,"A pharma company is working on developing a vaccine for the COVID-19 virus. The researchers at the company want to process the reference healthcare data in a highly available as well as HIPAA compliant in-memory database that supports caching results of SQL queries.
As a solutions architect, which of the following AWS services would you recommend for this task?",Correct answer,Amazon ElastiCache for Redis/Memcached,Amazon DocumentDB,Amazon DynamoDB,1,Amazon ElastiCache for Redis/Memcached,"Amazon ElastiCache for Redis/Memcached
Amazon ElastiCache Overview:
via - __https://aws.amazon.com/elasticache/redis-vs-memcached/__

Amazon ElastiCache for Redis is a blazing fast in-memory data stor",Incorrect
33,udemy-attempt3,secure-arch,"A financial services company recently launched an initiative to improve the security of its AWS resources and it had enabled AWS Shield Advanced across multiple AWS accounts owned by the company. Upon analysis, the company has found that the costs incurred are much higher than expected.
Which of the following would you attribute as the underlying reason for the unexpectedly high costs for AWS Shield Advanced service?","AWS Shield Advanced is being used for custom servers, that are not part of AWS Cloud, thereby resulting in increased costs",Savings Plans has not been enabled for the AWS Shield Advanced service across all the AWS accounts,Consolidated billing has not been enabled. All the AWS accounts should fall under a single consolidated billing for the monthly fee to be charged only once,"AWS Shield Advanced also covers AWS Shield Standard plan, thereby resulting in increased costs",1,Savings Plans has not been enabled for the AWS Shield Advanced service across all the AWS accounts,"Consolidated billing has not been enabled. All the AWS accounts should fall under a single consolidated billing for the monthly fee to be charged only once
If your organization has multiple AWS accoun",Correct
34,udemy-attempt3,secure-arch,"A healthcare startup needs to enforce compliance and regulatory guidelines for objects stored in Amazon S3. One of the key requirements is to provide adequate protection against accidental deletion of objects.
As a solutions architect, what are your recommendations to address these guidelines? (Select two) ?",Correct selection,Enable multi-factor authentication (MFA) delete on the Amazon S3 bucket,Change the configuration on Amazon S3 console so that the user needs to provide additional confirmation while deleting any Amazon S3 object,Enable versioning on the Amazon S3 bucket,2,Change the configuration on Amazon S3 console so that the user needs to provide additional confirmation while deleting any Amazon S3 object,"Enable versioning on the Amazon S3 bucket
Versioning is a means of keeping multiple variants of an object in the same bucket. You can use versioning to preserve, retrieve, and restore every version of",Incorrect
35,udemy-attempt3,cost-optimized-arch,"A media company wants to get out of the business of owning and maintaining its own IT infrastructure. As part of this digital transformation, the media company wants to archive about 5 petabytes of data in its on-premises data center to durable long term storage.
As a solutions architect, what is your recommendation to migrate this data in the MOST cost-optimal way?",Setup AWS direct connect between the on-premises data center and AWS Cloud. Use this connection to transfer the data into Amazon S3 Glacier,Transfer the on-premises data into multiple AWS Snowball Edge Storage Optimized devices. Copy the AWS Snowball Edge data into Amazon S3 Glacier,Correct answer,Transfer the on-premises data into multiple AWS Snowball Edge Storage Optimized devices. Copy the AWS Snowball Edge data into Amazon S3 and create a lifecycle policy to transition the data into Amazon S3 Glacier,0,Setup AWS direct connect between the on-premises data center and AWS Cloud. Use this connection to transfer the data into Amazon S3 Glacier,Transfer the on-premises data into multiple AWS Snowball Edge Storage Optimized devices. Copy the AWS Snowball Edge data into Amazon S3 and create a lifecycle policy to transition the data into Amazon,Incorrect
